country,iso3,who_region,month_start,month_lab,cases,deaths
Bahamas,BHS,AMRO,2023/4/1,2023-04,0,0
Bahamas,BHS,AMRO,2023/5/1,2023-05,2,0
Bahamas,BHS,AMRO,2023/6/1,2023-06,0,0
Bahamas,BHS,AMRO,2023/7/1,2023-07,0,0
Bahamas,BHS,AMRO,2023/8/1,2023-08,0,0
Bahamas,BHS,AMRO,2023/9/1,2023-09,0,0
Bahamas,BHS,AMRO,2023/10/1,2023-10,0,0
Bahamas,BHS,AMRO,2023/11/1,2023-11,0,0
Bahamas,BHS,AMRO,2023/12/1,2023-12,0,0
Bahamas,BHS,AMRO,2024/1/1,2024-01,0,0
Bahamas,BHS,AMRO,2024/2/1,2024-02,0,0
Bahamas,BHS,AMRO,2024/3/1,2024-03,0,0
Bahamas,BHS,AMRO,2024/4/1,2024-04,0,0
Bahamas,BHS,AMRO,2024/5/1,2024-05,0,0
Bahamas,BHS,AMRO,2024/6/1,2024-06,0,0
Bahamas,BHS,AMRO,2024/7/1,2024-07,0,0
Bahamas,BHS,AMRO,2024/8/1,2024-08,0,0
Bahamas,BHS,AMRO,2024/9/1,2024-09,0,0
Bahrain,BHR,EMRO,2022/9/1,2022-09,1,0
Bahrain,BHR,EMRO,2023/4/1,2023-04,1,0
Barbados,BRB,AMRO,2022/7/1,2022-07,1,0
Barbados,BRB,AMRO,2022/8/1,2022-08,0,0
Barbados,BRB,AMRO,2022/9/1,2022-09,0,0
Barbados,BRB,AMRO,2022/10/1,2022-10,0,0
Barbados,BRB,AMRO,2022/11/1,2022-11,0,0
Barbados,BRB,AMRO,2022/12/1,2022-12,0,0
Barbados,BRB,AMRO,2023/1/1,2023-01,0,0
Barbados,BRB,AMRO,2023/2/1,2023-02,0,0
Barbados,BRB,AMRO,2023/3/1,2023-03,0,0
Barbados,BRB,AMRO,2023/4/1,2023-04,0,0
Barbados,BRB,AMRO,2023/5/1,2023-05,0,0
Barbados,BRB,AMRO,2023/6/1,2023-06,0,0
Barbados,BRB,AMRO,2023/7/1,2023-07,0,0
Barbados,BRB,AMRO,2023/8/1,2023-08,0,0
Barbados,BRB,AMRO,2023/9/1,2023-09,0,0
Barbados,BRB,AMRO,2023/10/1,2023-10,0,0
Barbados,BRB,AMRO,2023/11/1,2023-11,0,0
Barbados,BRB,AMRO,2023/12/1,2023-12,0,0
Barbados,BRB,AMRO,2024/1/1,2024-01,0,0
Barbados,BRB,AMRO,2024/2/1,2024-02,0,0
Barbados,BRB,AMRO,2024/3/1,2024-03,0,0
Barbados,BRB,AMRO,2024/4/1,2024-04,0,0
Barbados,BRB,AMRO,2024/5/1,2024-05,0,0
Barbados,BRB,AMRO,2024/6/1,2024-06,0,0
Barbados,BRB,AMRO,2024/7/1,2024-07,0,0
Barbados,BRB,AMRO,2024/8/1,2024-08,0,0
Barbados,BRB,AMRO,2024/9/1,2024-09,0,0
Belgium,BEL,EURO,2022/5/1,2022-05,10,0
Belgium,BEL,EURO,2022/6/1,2022-06,107,0
Belgium,BEL,EURO,2022/7/1,2022-07,276,0
Belgium,BEL,EURO,2022/8/1,2022-08,313,1
Belgium,BEL,EURO,2022/9/1,2022-09,64,0
Belgium,BEL,EURO,2022/10/1,2022-10,15,0
Belgium,BEL,EURO,2022/11/1,2022-11,4,0
